"year" "co2" "tmp"
-419095 277.6 0.94
-416872 286.9 1.36
-414692 285.5 1.07
-413062 285.5 1.08
-410979 281.2 1.27
-408485 281.2 0.94
-406441 279.7 0.31
-404346 279.7 -0.37
-402179 278 -1.26
-400553 277.1 -1.58
-398361 274.7 -1.92
-396126 250.2 -2.8
-394297 255.2 -5.02
-391658 255.2 -5.6
-389700 259.3 -5.44
-387804 264.7 -5.4
-385894 258.1 -5.36
-383641 258.1 -2.5
-381551 246.9 -4.05
-379297 239.1 -4.63
-377702 240 -2.99
-375604 227 -5.08
-373331 229.7 -5.9
-370960 224.6 -5.74
-369331 214.7 -4.54
-367297 200 -4.86
-365208 201.9 -5.88
-363042 206.4 -6.2
-360904 201.2 -6.05
-358786 185.8 -6.64
-356612 186.2 -7.24
-354400 193 -7.46
-352710 193 -7.77
-350493 209.5 -7.64
-348357 216.2 -7.05
-346319 221.2 -6.76
-344348 220.4 -6.84
-342401 211.9 -6.32
-339993 205.2 -7.13
-338033 200.7 -7.16
-336081 250.2 -7.28
-334101 234.2 -7.94
-331725 239.7 -6.06
-329694 255.7 -4.56
-327597 278.7 -2.55
-325789 278.2 0.05
-323695 282.4 2.99
-321559 271.8 1.66
-319364 275.2 0.16
-317401 266.2 -0.39
-315194 260.6 -0.97
-313159 257.2 -1.79
-311035 249.2 -2.54
-309077 245.2 -3.86
-307005 272.7 -5.09
-304886 257.2 -4.13
-302834 241.9 -2.28
-300799 233.2 -2.97
-298749 227.9 -3.81
-296562 248.6 -5.04
-294348 240.2 -6.06
-292490 239 -3.52
-290382 224.4 -6
-288145 217.1 -5.68
-286248 212.7 -6.27
-283941 206 -5.95
-281875 217.2 -6.39
-280038 234.9 -6.17
-277903 230.4 -4
-275772 228 -3.53
-273605 231.4 -4.33
-271584 215.4 -5.74
-269429 202.2 -6.65
-267431 194.2 -7.65
-265321 184.7 -8.13
-263201 194.2 -8.13
-261336 211.7 -8.43
-259235 228.2 -8.09
-256994 208.9 -7.13
-254972 209.7 -5.41
-252986 204 -6.55
-250818 195.4 -5.29
-248680 213.9 -7.41
-246700 200.2 -6.78
-244551 214.7 -7.02
-242576 249.9 -5.74
-240548 263.8 -3.43
-238419 259.8 1.66
-236385 243.1 -1.11
-234268 245.2 -2.66
-232140 233.9 -4.38
-230088 224.5 -6.15
-228064 215.7 -6.5
-225900 205.7 -6.59
-223792 216.1 -7.6
-221850 214.1 -6.02
-219738 251.7 -3.42
-217699 241.4 -1.18
-215608 243.4 -1.22
-213453 243.9 -1.67
-211366 238.2 -2.56
-209315 232.2 -2.88
-207278 247.7 -4.31
-205214 251 -3.69
-203046 251 -2.38
-200998 226.4 -2.78
-198992 226.5 -2.96
-196846 218 -4.49
-194806 231.5 -4.23
-192638 231.4 -6.01
-190587 210.7 -4.79
-188467 199.8 -7.63
-186499 217.7 -8.14
-184367 213.2 -7.37
-182284 207.7 -8
-180182 190.3 -6.35
-178153 196 -7.25
-176117 197.8 -7.23
-173988 197.9 -5.91
-171880 197.9 -7.08
-169866 186.7 -6.87
-167790 191.6 -8.05
-165646 196.5 -8.17
-163546 204.4 -6.81
-161545 204.4 -7.41
-159444 189 -6.58
-157324 200.6 -8.59
-155271 191.9 -8.06
-153188 203 -7.78
-151181 197 -6.91
-149022 197 -7.62
-147014 195.6 -7.88
-144894 192.3 -8.32
-142779 194.4 -8.68
-140766 198.1 -8.38
-138644 208.9 -8.67
-136614 223.5 -7.29
-134538 245 -5.76
-132406 257.9 -2.44
-130353 274.1 0.84
-128309 267.1 2.78
-126217 268.7 0.53
-124154 272.2 0.59
-122064 272 -0.37
-119955 267.6 -1.16
-117886 274.6 -1.88
-115816 256.8 -3.11
-113736 245.7 -5.62
-111640 238.2 -5.68
-109543 230.7 -6.09
-107515 228.2 -6.48
-105413 236.9 -4.29
-103341 225.9 -3.55
-101234 225.9 -3.18
-99205 232.1 -4.35
-97075 232.1 -4.42
-95000 224.3 -3.96
-92967 208 -4.06
-90885 214.2 -4.79
-88793 241.1 -4.93
-86707 231 -3.99
-84638 231 -2.65
-82573 217.1 -4.53
-80498 217.1 -4.45
-78353 229.2 -5.71
-76313 227.4 -4.05
-74238 227.4 -6.31
-72152 195 -5.69
-70054 191.4 -7.84
-67945 195.4 -7.89
-65949 195.4 -7.4
-63865 195.4 -6.82
-61765 221.8 -6.5
-59674 221.8 -5.53
-57590 221.8 -4.86
-55536 190.4 -5.21
-53436 215.7 -6.05
-51384 188.4 -5.6
-49272 189.3 -5.51
-47214 189.3 -5.92
-45139 209.1 -6.69
-43073 209.1 -5.8
-40952 209.1 -5.74
-38865 209.1 -6.64
-36827 205.4 -6.02
-34744 205.4 -5.7
-32626 188.5 -6.62
-30622 188.5 -7.52
-28510 191.6 -8.47
-26425 189.2 -7.82
-24363 189.2 -9.39
-22284 182.2 -8.82
-20197 182.2 -7.52
-18116 225.3 -8.63
-16057 236.2 -5.75
-13992 263.7 -2.32
-11861 261.6 -2.85
-9831 254.6 -0.74
-7745 262.2 -0.72
-5674 284.7 -0.06
